0e1f ba0e 00b4 09cd 21b8 014c cd21 5468
6973 2070 726f 6772 616d 2063 616e 6e6f
7420 6265 2072 756e 2069 6e20 444f 5320
9503 c3d0 d162 ad83 d162 ad83 d162 ad83
d81a 3e83 c162 ad83 b31a a882 cb62 ad83
b31a a982 db62 ad83 b31a ae82 d562 ad83
b31a ac82 d762 ad83 9a1a ac82 d662 ad83
d162 ac83 9d62 ad83 521b a482 d062 ad83
521b ae82 d062 ad83 521b 5283 d062 ad83
521b af82 d062 ad83 5269 6368 d162 ad83
4053 4883 ec20 488b d948 8bc2 488d 0d45
3300 000f 57c0 488d 5308 4889 0b48 8d48
488b 5108 488d 0575 3300 0048 85d2 480f
4889 5c24 0857 4883 ec20 488d 05e7 3200
0048 8bf9 4889 018b da48 83c1 08ff 1595
e83f 1900 0048 8b5c 2430 488b c748 83c4
488d 05a1 3200 0048 8901 4883 c108 48ff
1593 3d00 0048 8d4c 2420 e823 2500 00cc
4053 4883 ec20 488b d948 8bc2 488d 0d25
3200 000f 57c0 488d 5308 4889 0b48 8d48
4053 4883 ec20 488b d948 8bc2 488d 0de5
3100 000f 57c0 488d 5308 4889 0b48 8d48
4883 ec28 488d 0d45 3200 00ff 1517 2f00
4889 5c24 1855 5657 4154 4155 4156 4157
2440 4883 e5e0 488b 0513 4e00 0048 33c4
4889 8580 1400 0048 63da 488b f948 894d
4500 488b 4500 4889 8578 1400 00c5 fe6f
8bc2 c1e8 1e33 c269 d065 8907 6c03 d189
488b d348 8bcf e8e5 0e00 0048 8bcf 4883
7f18 1072 0848 8b0f 488b d1eb 0348 8bd7
4889 4d00 488b 4710 4803 c248 8945 104c
49ff cd48 d1ee 493b f677 f549 83ff ff75
3033 db33 ff49 8d4d ff48 d3e3 4803 db90
c677 ed48 0bd8 4903 fd48 83ff 4072 d6eb
774d 8d67 0133 ff33 db4d 85ff 743a 6690
c677 ed48 0bf8 498d 4dff 48d3 e348 03db
480b de49 3bdf 72c8 33d2 488b c349 f7f4
488b c833 d248 8bc7 49f7 f448 3bc1 720d
33d2 488b c349 f7f4 493b d775 9833 d248
8b45 0041 8800 49ff c04c 8945 004c 3b45
83f8 1072 3448 8d50 0149 8bc0 4881 fa00
1000 0072 1c48 83c2 274d 8b40 f849 2bc0
cc49 8bc8 e8bb 1300 0048 8bc7 488b 8d80
1400 0048 33cc e845 1300 0048 8b9c 2420
4889 5c24 0848 8974 2410 4889 7c24 1855
8d6c 2440 4883 e5e0 488b 0581 4900 0048
00c5 fd7f 4d20 33ff 4889 7d40 4889 7d50
488d 5520 488d 4d40 e8e3 0c00 00b8 4d5a
448b 7020 4c03 f344 8b68 1c4c 03eb 8b48
2448 03cb 4889 4d00 4c8b d78b 7018 4885
438b 0496 4803 c34c 8d45 4045 84e4 4d0f
440f b608 410f b608 4d8d 4001 443b c975
4b48 ffc0 4584 c975 e748 8b45 0042 0fb7
0450 418b 7c85 0048 03fb 4983 ff10 7241
4883 c227 4d8b 5bf8 492b c348 83c0 f848
83f8 1f76 14ff 1585 2900 00cc 49ff c24c
0048 8bcb 4885 ff74 098b 4704 8905 d64d
8b5b 3049 8b73 3849 8b7b 4049 8be3 415f
4889 5c24 0848 8974 2410 4889 7c24 1855
4154 4155 4156 4157 4881 ecc0 0400 0048
8d6c 2450 4883 e5e0 488b 05a1 4600 0048
4500 488b 4500 4889 8530 0200 0048 894d
8945 7048 897d 0048 8b45 0048 8945 7848
6d00 488b 4500 4889 85a8 0100 0048 8975
488b 4500 4889 85b8 0100 00c5 fe6f 4560
48ff c180 3c08 0075 f748 8d55 6049 8bc4
48ff c080 3c02 0075 f748 ffc0 4803 c8e8
0fb6 0a88 0c02 488d 5201 84c9 75f2 498d
4eff 488d 4901 8039 0075 f74c 8d45 6033
410f b604 1088 0411 488d 5201 84c0 75f0
4500 4889 4510 4c89 6d00 488b 4500 4889
4518 4889 5d00 488b 4500 4889 8570 0100
